speaker,vowel,context,word,F1,F2
ral135,e,oral,BET,-0.37701696094784487,1.292683533786414
ral135,i,oral,IT,-0.9618842525854382,0.42944590931055393
ral135,i,nasal,IN,-1.327091776473186,0.9358879443110534
ral135,i,oral,IT,-1.1921118442132836,0.9100694250349088
ral135,i,nasal,IN,-0.7613014656023703,1.9595177108822919
ral135,i,oral,IS,-1.2127671363384644,0.36804879736337176
ral135,i,oral,IS,-1.2518131869006832,1.0484413030176727
ral135,i,oral,IT,-0.8271788092574321,0.6348401632168653
ral135,e,nasal,TEN,-0.79046591461633,1.1595282467560935
ral135,i,oral,BUSINESS,-1.1436645477336238,0.3448746329479127
ral135,e,oral,SEVERAL,-0.15866101562450502,0.41180085051289056
ral135,e,oral,WHEREVER,-0.7303528385310863,0.27934271158220514
ral135,i,oral,IT,-0.8124250291680174,1.470312061655531
ral135,i,oral,IS,-1.1704958408264667,0.7032568353396842
ral135,i,oral,IS,-1.0615237348637188,1.0531290229979777
ral135,i,oral,IS,-1.0339375972081617,0.892905158030098
ral135,i,oral,IS,-1.0908254283436265,0.5619521274205245
ral135,i,oral,WITH,-1.0814241824261854,-0.12668595748118539
ral135,i,oral,THIS,-1.282418702807097,0.8196324887994755
ral135,i,oral,IS,-0.9035553545575191,0.9253826436372407
ral135,e,oral,THERAPY,-0.820110719261108,0.7204451419341381
ral135,i,nasal,IN,-1.1184115659991836,0.9114637212341796
ral135,i,oral,IT,-0.9488460283203741,1.4973325604138057
ral135,i,oral,IS,-1.4199376576870382,1.0240411195304409
ral135,i,oral,IS,-1.715562237339127,0.7224644674641157
ral135,e,oral,EXCEPT,0.4806237067614882,0.4186280939713872
ral135,i,oral,IT,-1.513263894531709,0.916920708083048
ral135,i,oral,IS,-1.1464094370525846,0.7106610289496025
ral135,e,oral,DELI,-0.2778578343003821,0.6086370105064396
ral135,i,oral,IS,-1.4720905547472956,0.7190268061452249
ral135,i,oral,IT,-1.113813876389924,0.9213439925772849
ral135,i,oral,IS,-1.0360648864303565,0.9080260599152887
ral135,i,oral,DIFFERENT,-1.306161995416109,0.7290272754365436
ral135,i,oral,VISITING,-1.1031774302789508,0.4911795755127315
ral135,i,oral,MISSED,-0.5634635679382637,0.8774477018899107
ral135,i,oral,IT,-0.029376728701446447,0.4329316498087294
ral135,i,oral,FIFTY,-0.9756773214132166,0.9100934646245514
ral135,e,nasal,TEN,-0.6294095338262994,0.4442302569407481
ral135,i,oral,SYSTEMS,-0.8033668944154465,-0.5185553082450886
ral135,e,oral,SEVENTY,-0.01476019307797969,0.2661449768684217
ral135,i,oral,DID,-1.034280708373032,0.5962566218405042
ral135,e,nasal,TEN,-0.7096975464059055,1.013175225011989
ral135,e,oral,ITSELF,-0.3785266500732728,0.4559615766863336
ral135,i,nasal,IN,-0.4619712853696847,1.373023842371959
ral135,e,nasal,WENT,0.3790628019599352,0.7305898487633123
ral135,i,oral,KIDS,-1.328258354433744,1.5677204788873165
ral135,e,oral,GET,0.34303612964857344,0.21049332684581945
ral135,e,oral,GETTING,0.02023714573877115,0.6543843495962934
ral135,e,oral,GET,0.15672676712410255,0.432955689398372
ral135,i,oral,THIS,-1.1724858855827132,0.7260704059105046
ral135,i,oral,COMMITMENT,-0.5397888975622256,0.204387271076601
ral135,e,nasal,WENT,0.28896181006504373,0.6591682279351694
ral135,e,oral,GET,0.3541529313903651,1.3103526321737196
ral135,e,nasal,ANY,-1.2348634953560997,1.8755714638503582
ral135,e,oral,SPECIAL,0.21354597602659298,0.4832945901099612
ral135,e,nasal,ANYWAY,-1.154163749378649,1.4159104702943435
ral135,i,oral,IT,-1.1844261541201933,1.1757068905855586
ral135,i,oral,COMMITMENT,-0.6726415405999336,0.5663513723251188
ral135,i,nasal,IN,-0.6235080217905333,0.7084493867024844
ral135,i,oral,VISITED,-1.248313453019008,0.710132157977466
ral135,e,oral,SETTING,-0.36713535939958525,0.4813954625281964
ral135,e,oral,NEXT,0.41570707436806265,0.897208244576122
ral135,e,oral,GET,0.2396224245567212,0.5315901257019302
ral135,i,nasal,MINUTES,-1.9763953448733866,0.549403461627091
ral135,e,oral,YES,-0.29679757060121226,0.9901212585447423
ral135,i,nasal,IN,-1.305681639785291,0.9874769036840574
ral135,i,oral,WITH,-0.5864520159845613,0.22296987387032519
ral135,e,oral,VERY,-1.4418967722387253,1.4763940778351075
ral135,i,oral,FIFTY,-0.866018993120729,0.7027039247779044
ral135,i,oral,IS,-0.9723834542304638,0.7674185000957641
ral135,i,oral,IT,-1.535223009083396,1.3529988641996795
ral135,i,nasal,IN,-0.7335094612478916,1.2745576831958993
ral135,e,oral,EVERY,-0.7647325772510715,0.8349937865810919
ral135,i,oral,MILLION,-0.9265438026038167,0.7923235149654899
ral135,i,oral,KIDS,-1.1155294322142744,1.5191124286299946
ral135,e,oral,EVERY,-0.4385024816925685,1.4625713137906167
ral135,e,nasal,THEN,-0.5871382383143018,1.3322767379277638
ral135,i,nasal,BEGIN,-0.5984609067550153,1.6129149074153912
ral135,i,oral,THIS,-1.0329082637135516,1.05815329723328
ral135,e,oral,CREDIT,-0.044199131023835866,0.6717168937286028
ral135,e,oral,VERY,-1.0477306660359402,1.0219256356418924
ral135,i,oral,MILLION,-0.862999614869872,0.9889433186522558
ral135,i,nasal,IN,-1.1702899741275445,0.5224791212273872
ral135,i,nasal,INDUSTRY,-0.6999531893235943,0.614382472431019
ral135,e,nasal,ANYWAY,-0.6661224284674016,1.6050299220126203
ral135,i,nasal,IN,-1.242480563216216,0.1956849396259827
